year,state,type,acres,total_acres_all_vegetables
2004,Oregon,lettuce,0,2306.2
2004,Pennsylvania,lettuce,45.8,777.95
2004,Rhode Island,lettuce,2.5,33
2004,South Carolina,lettuce,0,32
2004,South Dakota,lettuce,0,5.05
2004,Tennessee,lettuce,0,42
2004,Texas,lettuce,0,817
2004,Utah,lettuce,0,193.9
2004,Vermont,lettuce,0,824
2004,Virginia,lettuce,0,213.5
2004,Washington,lettuce,0,6405.25
2004,West Virginia,lettuce,0,63
2004,Wisconsin,lettuce,0,960.427
2004,Wyoming,lettuce,0,1
2005,Alabama,lettuce,0,4
2005,Alaska,lettuce,0,19
2005,Arizona,lettuce,0,3638.94
2005,Arkansas,lettuce,0,35.6
2005,California,lettuce,11389,58327.37
2005,Colorado,lettuce,246.05,1956.78
2005,Connecticut,lettuce,4.46,168.31
2005,Delaware,lettuce,0,1
2005,Florida,lettuce,124,2139.5
2005,Georgia,lettuce,0,605.837
2005,Hawaii,lettuce,68.65,304.7375
2005,Idaho,lettuce,0.75,148.78
2005,Illinois,lettuce,0,357.25
2005,Indiana,lettuce,0,41.05
2005,Iowa,lettuce,0,166.7
2005,Kansas,lettuce,0,26.75
2005,Kentucky,lettuce,0,24.5
2005,Louisiana,lettuce,0,11
2005,Maine,lettuce,7.02,293.71
2005,Maryland,lettuce,9e-4,360.7509
2005,Massachusetts,lettuce,15.46,498.97
2005,Michigan,lettuce,0,98.5
2005,Minnesota,lettuce,0,749.73
2005,Mississippi,lettuce,0.5,7.75
2005,Missouri,lettuce,0,39
2005,Montana,lettuce,3,183
2005,Nebraska,lettuce,2,53
2005,Nevada,lettuce,0,14
2005,New Hampshire,lettuce,0,216.4
2005,New Jersey,lettuce,0,236.645
2005,New Mexico,lettuce,0,643
2005,New York,lettuce,0,2952.45
2005,North Carolina,lettuce,58,640.445
2005,North Dakota,lettuce,0,65.15
2005,Ohio,lettuce,0,581.2
2005,Oklahoma,lettuce,0,180
2005,Oregon,lettuce,0,3737
2005,Pennsylvania,lettuce,64.3,868.8
2005,Rhode Island,lettuce,2.5,40.5
2005,South Carolina,lettuce,0,52.8
2005,South Dakota,lettuce,0,29.25
2005,Tennessee,lettuce,0,43
2005,Texas,lettuce,0,624.5
2005,Utah,lettuce,0,193.9
2005,Vermont,lettuce,0,963
2005,Virginia,lettuce,0,4859.4
2005,Washington,lettuce,0,10331
2005,West Virginia,lettuce,0,63
2005,Wisconsin,lettuce,0,927.89
2005,Wyoming,lettuce,0,0
2006,Alabama,lettuce,0,4
2006,Alaska,lettuce,0,0
2006,Arizona,lettuce,28,3217
2006,Arkansas,lettuce,0,10
2006,California,lettuce,13194.31,61703.649999999994
2006,Colorado,lettuce,852.22,1938.51
2006,Connecticut,lettuce,2,188.17000000000002
2006,Delaware,lettuce,0,2
2006,Florida,lettuce,93.5,3182.5
2006,Georgia,lettuce,0,760
2006,Hawaii,lettuce,17.15,213.51999999999998
2006,Idaho,lettuce,1,149.5
2006,Illinois,lettuce,0,1338.86
2006,Indiana,lettuce,0,173.35
2006,Iowa,lettuce,2,132.95
2006,Kansas,lettuce,0,22.98
2006,Kentucky,lettuce,0,33.5
2006,Louisiana,lettuce,0,12
